mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,2,2층,416.09,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,3,3층,61.87,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000000122280,1168010800102070000,서울특별시 강남구 논현동 207번지,서울특별시 강남구 학동로 204 (논현동),지상,1,1층,321.35,03001,소매점,"제1종근린생활시설(소매점),도시형생활주택 홀,로비,방재실,경비실",근린생활1,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지상,2,2층,46.24,04402,사무소,공용부,근린생활2,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지하,1,지1층,75.74,04402,사무소,공용부,근린생활2,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지하,1,지1층,129.68,04402,사무소,사무소,근린생활2,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지상,1,1층,37.14,04001,일반음식점,공용부,근린생활2,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지상,2,2층,136.97,04402,사무소,사무소,근린생활2,철근콘크리트구조
1000000000000001767180,1168010100107380029,서울특별시 강남구 역삼동 738-29번지,서울특별시 강남구 논현로 423 (역삼동),지상,1,1층,227.84,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100278724,1168011400106830006,서울특별시 강남구 일원동 683-6번지,서울특별시 강남구 일원로3길 14 (일원동),지상,1,1층,29.14,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10241100278724,1168011400106830006,서울특별시 강남구 일원동 683-6번지,서울특별시 강남구 일원로3길 14 (일원동),지상,2,2층,128.61,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100278403,1168011800105460002,서울특별시 강남구 도곡동 546-2번지,,지하,2,지2층,193.5,04008,사진관,제2종근린생활시설(사진관),근린생활2,철근콘크리트구조
10241100278403,1168011800105460002,서울특별시 강남구 도곡동 546-2번지,,지하,1,지1층,229.26,04008,사진관,제2종근린생활시설(사진관),근린생활2,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지상,8,8층,125.4,04008,사진관,제2종근린생활시설(사진관),근린생활2,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),옥탑,1,옥탑1층,21.99,04010,학원,계단실(연면적제외),근린생활2,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지상,1,1층,94.41,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지하,2,지2층,181.05,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지상,1,1층,38.28,03001,소매점,기계식주차장,근린생활1,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지하,1,지1층,193.46,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000004106509,1168010300101580011,서울특별시 강남구 개포동 158-11번지,서울특별시 강남구 선릉로4길 5 (개포동),지상,7,7층,146.8,04008,사진관,제2종 근린생활시설(사진관),근린생활2,철근콘크리트구조
